Group Code,Customer Account ID,Customer Name,Line of Business,Line of Coverage,Premium Due Date,Premium Amount,Rate,Payment Amount,Payment Category Name,Marketer Name,Product Name,"* Paid Family Medical Leave  PFML  compensation is identified as Paid Medical Leave  PML  in some states.


Customer Confidential     This document is the property of Principal. It may not be shared without explicit permission of Principal."
00366-00246,1040970-10001,MITCHELL METALS,GROUP,LTD,05/01/2025,746.41,10%,74.64,RENEWAL,J C SNELLINGS,
00366-00246,1040970-10001,MITCHELL METALS,GROUP,VISION,05/01/2025,236.51,10%,23.65,RENEWAL,J C SNELLINGS,
00366-00246,1040970-10001,MITCHELL METALS,GROUP,LIFE,05/01/2025,219.96,10%,22.00,RENEWAL,J C SNELLINGS,
00366-00246,1040970-10001,MITCHELL METALS,GROUP,VOL DENTAL,05/01/2025,1449.95,8%,116.00,RENEWAL,J C SNELLINGS,
00366-00246,1056944-10001,OSBORNE WOOD PRO,GROUP,LTD,05/01/2025,756.65,10%,75.66,RENEWAL,J C SNELLINGS,
00366-00246,1056944-10001,OSBORNE WOOD PRO,GROUP,VSTD,05/01/2025,288.66,10%,28.87,RENEWAL,J C SNELLINGS,
00366-00246,1056944-10001,OSBORNE WOOD PRO,GROUP,VISION,05/01/2025,227.47,10%,22.75,RENEWAL,J C SNELLINGS,
00366-00246,1056944-10001,OSBORNE WOOD PRO,GROUP,VOL TRM LIFE,05/01/2025,224.43,10%,22.44,RENEWAL,J C SNELLINGS,
00366-00246,1056944-10001,OSBORNE WOOD PRO,GROUP,LIFE,05/01/2025,128.78,10%,12.88,RENEWAL,J C SNELLINGS,
00366-00246,1056944-10001,OSBORNE WOOD PRO,GROUP,DENTAL,05/01/2025,9.74,8%,.78,RENEWAL,J C SNELLINGS,
00366-00246,1056944-10001,OSBORNE WOOD PRO,GROUP,DENTAL,05/01/2025,1379.10,6%,82.74,RENEWAL,J C SNELLINGS,
00366-00246,1067716-10001,PIZZA THE PIE LL,GROUP,VOL TRM LIFE,05/01/2025,18.33,15%,2.75,RENEWAL,J C SNELLINGS,
00366-00246,1067716-10001,PIZZA THE PIE LL,GROUP,VISION,05/01/2025,7.51,10%,.75,RENEWAL,J C SNELLINGS,
00366-00246,1067716-10001,PIZZA THE PIE LL,GROUP,VOL DENTAL,05/01/2025,33.41,6%,2.00,RENEWAL,J C SNELLINGS,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,STD,12/01/2024,-8.68,15%,-1.30,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,STD,01/01/2025,-7.00,15%,-1.05,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,STD,02/01/2025,-7.00,15%,-1.05,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,STD,03/01/2025,-7.00,15%,-1.05,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,ACC,04/01/2025,-7.90,15%,-1.19,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,LTD,04/01/2025,-.30,15%,-.05,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,STD,04/01/2025,-7.00,15%,-1.05,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,STD,05/01/2025,260.28,15%,39.04,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,LTD,05/01/2025,87.03,15%,13.06,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,LIFE,05/01/2025,64.02,15%,9.60,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,ACC,05/01/2025,13.04,15%,1.95,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,VCI,05/01/2025,11.44,15%,1.71,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1068378-10001,ANDRETTI INDOOR,GROUP,VOL TRM LIFE,05/01/2025,-51.32,15%,-7.70,RENEWAL,J C SNELLINGS/J A MASSEY,
00366-00246,1170606-10001,The Keg Social O,GROUP,VOL DENTAL,05/01/2025,260.45,10%,26.05,RENEWAL,W J POTTER,
00366-00246,1170606-10001,The Keg Social O,GROUP,VISION,05/01/2025,63.56,10%,6.36,RENEWAL,W J POTTER,
00366-00246,1184533-10001,Hi-Tech Integrat,GROUP,VLTD,05/01/2025,116.67,15%,17.50,RENEWAL,M L BENNER,
00366-00246,1184533-10001,Hi-Tech Integrat,GROUP,VSTD,05/01/2025,84.41,15%,12.66,RENEWAL,M L BENNER,
00366-00246,1184533-10001,Hi-Tech Integrat,GROUP,VOL TRM LIFE,05/01/2025,57.14,15%,8.57,RENEWAL,M L BENNER,
00366-00246,1184533-10001,Hi-Tech Integrat,GROUP,DENTAL,05/01/2025,289.73,10%,28.97,RENEWAL,M L BENNER,
00366-00246,1184533-10001,Hi-Tech Integrat,GROUP,VISION,05/01/2025,50.05,10%,5.01,RENEWAL,M L BENNER,
